Ticket subject,Ticket Type,Ticket priority,Module,Product
Cianan Corp.: - Sprout HR - Schedule Adjustment,Problem,Normal,Attendance Report,Sprout HR
Cianan Corp.: - Sprout HR - Schedule Adjustment,Problem,Normal,Holidays,Sprout HR
Cianan Corp.: - Sprout HR - Schedule Adjustment,Problem,Normal,Schedule Adjustment Application,Sprout HR
Cianan Corp.: - Sprout HR - Schedule Adjustment,Problem,Normal,Schedule Adjustments,Sprout HR
Gud morning mam/sir follow up ko lang po yung sa i...,Problem,Normal,Instacash Widget,Sprout Instacash
Gud morning mam/sir follow up ko lang po yung sa i...,Problem,Normal,Loans,Sprout Instacash
Total Nutrition Corporation: System Acitivity Check,Task,Normal,Audit Trail,Sprout HR
Total Nutrition Corporation: System Acitivity Check,Task,Normal,Audit Trail,Sprout Payroll
Concerns on Instacash,Problem,Normal,Instacash Widget,Sprout Instacash
Concerns on Instacash,Problem,Normal,InstaCash: Payments,Sprout Instacash
Concerns on Instacash,Problem,Normal,Loans,Sprout Instacash
SSO Concern,Problem,Normal,Email Notification,Sprout HR
SSO Concern,Problem,Normal,Login,Sprout HR
SSO Concern,Problem,Normal,SSO,Sprout HR
Help Needed: Sprout Payroll system not working,Problem,Normal,Payroll Runs,Sprout Payroll
Absent,Problem,Normal,Attendance Report,Sprout HR
Absent,Problem,Normal,Biologs,Sprout HR
Request for Headcount,Problem,Normal,Users,Sprout HR
Change Request - CRF-18411 - Loanworks Technologies,Task,Urgent,SSO,Sprout HR
Change Request - CRF-18411 - Loanworks Technologies,Task,Urgent,SSO,Sprout Payroll
Change Request - CRF-18411 - Loanworks Technologies,Task,Urgent,Users,Sprout HR
Change Request - CRF-18411 - Loanworks Technologies,Task,Urgent,Users,Sprout Payroll
Sprout Mobile Concern,Question,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Holiday Pay Computation Concern,Problem,High,Attendance Report,Sprout HR
Holiday Pay Computation Concern,Problem,High,Attendance Report,Sprout Payroll
Holiday Pay Computation Concern,Problem,High,Holidays,Sprout HR
Holiday Pay Computation Concern,Problem,High,Holidays,Sprout Payroll
Holiday Pay Computation Concern,Problem,High,OT Rates,Sprout HR
Holiday Pay Computation Concern,Problem,High,OT Rates,Sprout Payroll
Updating of Loan Balance,Problem,Normal,InstaCash: Payments,Sprout Instacash
PAGIBIG DEDUCTION,Problem,Normal,HDMF / Pag-IBIG Contribution,Sprout Payroll
PAGIBIG DEDUCTION,Problem,Normal,PhilHealth Contribution,Sprout Payroll
REQUEST FOR ACTIVATION OF MOBILE APP CLOCK IN and CLOCK OUT,Problem,Normal,Geofencing,Sprout Mobile
SPROUT LOCKED | PASSWORD RESET EMAIL NOT RECEIVED | ILLUMIO | JANELLE CABANCE,Problem,Normal,Account Lockout,Sprout HR
SPROUT LOCKED | PASSWORD RESET EMAIL NOT RECEIVED | ILLUMIO | JANELLE CABANCE,Problem,Normal,Email Notification,Sprout HR
flexi within a week undertime,Problem,Normal,Attendance Management,Sprout HR
flexi within a week undertime,Problem,Normal,Attendance Report,Sprout HR
flexi within a week undertime,Problem,Normal,Holidays,Sprout HR
flexi within a week undertime,Problem,Normal,Leaves,Sprout HR
flexi within a week undertime,Problem,Normal,Undertimes,Sprout HR
flexi within a week undertime,Problem,Normal,Work Schedule,Sprout HR
URGENT: Availability of Salary Data for Accounting Firms,Problem,Normal,Others,Sprout Insight
Realcognita - Sprout Payroll - Missing Employees,Problem,Normal,Payroll Runs,Sprout Payroll
Sprout Payroll process issue,Problem,Normal,Payroll Runs,Sprout Payroll
Re: Sprout Questions,Problem,Normal,Attendance Report,Sprout HR
Re: Sprout Questions,Problem,Normal,Attendance Report,Sprout Payroll
Re: Sprout Questions,Problem,Normal,Backend Policy,Sprout HR
Re: Sprout Questions,Problem,Normal,Backend Policy,Sprout Payroll
Re: Sprout Questions,Problem,Normal,Holidays,Sprout HR
Re: Sprout Questions,Problem,Normal,Holidays,Sprout Payroll
Re: Sprout Questions,Problem,Normal,OT Rates,Sprout HR
Re: Sprout Questions,Problem,Normal,OT Rates,Sprout Payroll
Fw: PAYROLL HOLIDAY,Problem,Normal,Attendance Report,Sprout HR
Fw: PAYROLL HOLIDAY,Problem,Normal,Holidays,Sprout HR
Fw: attendance report ( no data),Problem,Normal,Attendance Report,Sprout HR
"MRO Maryruth, LLC | Sprout Split Shifts",Question,Normal,Attendance Report,Sprout HR
"MRO Maryruth, LLC | Sprout Split Shifts",Question,Normal,Biologs,Sprout HR
"MRO Maryruth, LLC | Sprout Split Shifts",Question,Normal,Work Schedule,Sprout HR
Payroll Account,Problem,High,Login,Sprout HR
Payroll Account,Problem,High,Login,Sprout Payroll
Payroll Account,Problem,High,SSO,Sprout HR
Payroll Account,Problem,High,SSO,Sprout Payroll
cant log in to the portal,Problem,Normal,Forgot Password,Sprout Payroll
Re: Change Request - CRF-15253 - Kantanna PH,Problem,Normal,Activation,Sprout HR
Re: Change Request - CRF-15253 - Kantanna PH,Problem,Normal,Activation,Sprout Payroll
Re: Change Request - CRF-15253 - Kantanna PH,Problem,Normal,SSO,Sprout HR
Re: Change Request - CRF-15253 - Kantanna PH,Problem,Normal,SSO,Sprout Payroll
Benchmark365 Inc - SSO Activation,Task,Normal,Pre/Post-Migration Report,Sprout HR
Change Request - CRF-18412 - Mcollective,Task,Normal,Activation,Sprout HR
Change Request - CRF-18412 - Mcollective,Task,Normal,Compensatory Time Off,Sprout HR
Caspio - Payroll - Leave Conversion,Question,Low,Final Pay,Sprout Payroll
Caspio - Payroll - Leave Conversion,Question,Low,Leaves,Sprout Payroll
"Change Request - CRF-18413 - PSG Global Solutions, Inc.",Task,Normal,Work Information,Sprout HR
SPROUT Bulk Employee Profile Termination 04.12.2024,Task,Normal,Work Information,Sprout HR
Instacash Payment,Problem,Normal,InstaCash: Payments,Sprout Instacash
"Change Request - CRF-18414 - HOME HEALTH CARE PLACEMENTS, INC.",Task,Normal,Activation,Sprout Mobile
"Change Request - CRF-18414 - HOME HEALTH CARE PLACEMENTS, INC.",Task,Normal,Geofencing,Sprout Mobile
Sprout Concern | Admin - Francis Luscares (Aro & Golden Timekeeping),Problem,High,SSO,Sprout HR
Sprout Concern | Admin - Francis Luscares (Aro & Golden Timekeeping),Problem,High,SSO,Sprout Payroll
