Ticket subject,Ticket Type,Ticket priority,Module,Product
Fwd: [APPROVED] Payroll for 3/23/2024 - 4/7/2024,Problem,Normal,Users,Sprout Payroll
URGENT: Payroll Deductions,Problem,Normal,Attendance Management,Sprout HR
URGENT: Payroll Deductions,Problem,Normal,Attendance Report,Sprout HR
URGENT: Payroll Deductions,Problem,Normal,Biologs,Sprout HR
Urgent: Error in updating Attendance Report,Problem,Normal,Attendance Report,Sprout HR
"Re: AgentInfinity Instacash Loan - Statement of Accounts April 30, 2024",Problem,Normal,InstaCash: Payments,Sprout Instacash
IPIC - Log-ins (Access Denied) - Post-SSO,Problem,Normal,SSO,Sprout HR
IPIC - Log-ins (Access Denied) - Post-SSO,Problem,Normal,SSO,Sprout Payroll
Access denied error,Problem,High,Login,Sprout HR
Access denied error,Problem,High,Login,Sprout Payroll
Access denied error,Problem,High,SSO,Sprout HR
Access denied error,Problem,High,SSO,Sprout Payroll
Sprout Payroll cannot access- Cherenz Global Manufacturing Inc.,Problem,Normal,Login,Sprout Payroll
Sprout Payroll cannot access- Cherenz Global Manufacturing Inc.,Problem,Normal,SSO,Sprout Payroll
Outstanding Balance Query,Problem,Normal,Instacash Widget,Sprout Instacash
WeCare Facility: Cannot Access URL,Problem,Normal,Login,Sprout HR
INTELEGENCIA BPO LLC CORP: Sprout System Error,Problem,High,Login,Sprout HR
INTELEGENCIA BPO LLC CORP: Sprout System Error,Problem,High,Login,Sprout Payroll
Request for Temporary Deactivation of Access,Task,Normal,Deactivation,Sprout HR
Server Error,Problem,High,Login,Sprout HR
daily paid in compressed work week,Problem,Normal,Attendance Report,Sprout HR
daily paid in compressed work week,Problem,Normal,Attendance Report,Sprout Payroll
daily paid in compressed work week,Problem,Normal,Employee Type,Sprout HR
daily paid in compressed work week,Problem,Normal,Employee Type,Sprout Payroll
daily paid in compressed work week,Problem,Normal,Holidays,Sprout HR
daily paid in compressed work week,Problem,Normal,Holidays,Sprout Payroll
daily paid in compressed work week,Problem,Normal,Manage Schedule,Sprout HR
daily paid in compressed work week,Problem,Normal,Manage Schedule,Sprout Payroll
daily paid in compressed work week,Problem,Normal,Payslip,Sprout HR
daily paid in compressed work week,Problem,Normal,Payslip,Sprout Payroll
daily paid in compressed work week,Problem,Normal,Work Schedule,Sprout HR
daily paid in compressed work week,Problem,Normal,Work Schedule,Sprout Payroll
Re: Locked Sprout Account - akuchavez,Problem,Normal,MFA,Sprout HR
Re: Single Sign On Capability,Non Support,Low,Non - Support,Sprout HR
Re: Single Sign On Capability,Non Support,Low,Non - Support,Sprout Payroll
Re: Single Sign On Capability,Non Support,Low,SSO,Sprout HR
Re: Single Sign On Capability,Non Support,Low,SSO,Sprout Payroll
RS CONCEPTS INC: Supervisorshift,Problem,Normal,Attendance Management,Sprout HR
RS CONCEPTS INC: Supervisorshift,Problem,Normal,Attendance Report,Sprout HR
SPROUT ECOSYSTEM INQUIRY,Problem,Normal,Login,Sprout Ecosystem
SPROUT ECOSYSTEM INQUIRY,Problem,Normal,Login,Sprout HR
"Urgent! Pontoon Philippines, Inc. - Sprout HR",Problem,Urgent,Login,Sprout HR
"Urgent! Pontoon Philippines, Inc. - Sprout HR",Problem,Urgent,Login,Sprout Payroll
"Urgent! Pontoon Philippines, Inc. - Sprout HR",Problem,Urgent,SSO,Sprout HR
"Urgent! Pontoon Philippines, Inc. - Sprout HR",Problem,Urgent,SSO,Sprout Payroll
"Urgent! Pontoon Philippines, Inc. - Sprout HR",Problem,Urgent,Users,Sprout HR
"Urgent! Pontoon Philippines, Inc. - Sprout HR",Problem,Urgent,Users,Sprout Payroll
Password Reset,Problem,Normal,Email Notification,Sprout HR
Password Reset,Problem,Normal,Email Notification,Sprout Payroll
Password Reset,Problem,Normal,Login,Sprout HR
Password Reset,Problem,Normal,Login,Sprout Payroll
Password Reset,Problem,Normal,SSO,Sprout HR
Password Reset,Problem,Normal,SSO,Sprout Payroll
InstaCash Inquiry,Task,Normal,InstaCash: Payments,Sprout Instacash
"Urgent!! Pontoon Philippines, Inc. - Sprout Payroll",Problem,Urgent,Login,Sprout HR
"Urgent!! Pontoon Philippines, Inc. - Sprout Payroll",Problem,Urgent,Login,Sprout Payroll
"Urgent!! Pontoon Philippines, Inc. - Sprout Payroll",Problem,Urgent,SSO,Sprout HR
"Urgent!! Pontoon Philippines, Inc. - Sprout Payroll",Problem,Urgent,SSO,Sprout Payroll
"Urgent!! Pontoon Philippines, Inc. - Sprout Payroll",Problem,Urgent,Users,Sprout HR
"Urgent!! Pontoon Philippines, Inc. - Sprout Payroll",Problem,Urgent,Users,Sprout Payroll
Sprout Benefits: Loans - #1301 KMC solutions inc,Problem,Normal,Instacash Widget,Sprout Instacash
Sprout Benefits: Loans - #1301 KMC solutions inc,Problem,Normal,InstaCash: Payments,Sprout Instacash
FW: Sprout Instacash,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18463 - HCM Nexus Consulting Inc.,Task,Normal,Others,Sprout HR
Change Request - CRF-18463 - HCM Nexus Consulting Inc.,Task,Normal,Others,Sprout Payroll
Change Request - CRF-18463 - HCM Nexus Consulting Inc.,Task,Normal,SSO,Sprout HR
Change Request - CRF-18463 - HCM Nexus Consulting Inc.,Task,Normal,SSO,Sprout Payroll
"FW: CAS-287804-P3S5M2 - April 11-15, 2024, SIL Capture to New Account Entity Transfer - Lovell Jaballa",Question,Normal,Employee Profile,Sprout HR
"FW: CAS-287804-P3S5M2 - April 11-15, 2024, SIL Capture to New Account Entity Transfer - Lovell Jaballa",Question,Normal,Employee Profile,Sprout Instacash
"FW: CAS-287804-P3S5M2 - April 11-15, 2024, SIL Capture to New Account Entity Transfer - Lovell Jaballa",Question,Normal,InstaCash: Payments,Sprout HR
"FW: CAS-287804-P3S5M2 - April 11-15, 2024, SIL Capture to New Account Entity Transfer - Lovell Jaballa",Question,Normal,InstaCash: Payments,Sprout Instacash
Change Request -  - Philippine Paramount Property Ventures Inc,Task,Normal,Backend Policy,Sprout HR
Change Request -  - Philippine Paramount Property Ventures Inc,Task,Normal,Link Sprout HR & Sprout Payroll,Sprout HR
Change Request -  - Philippine Paramount Property Ventures Inc,Task,Normal,Link Sprout HR & Sprout Payroll,Sprout Payroll
Subject Re: Instacash/InstaWage error,Problem,Normal,Instacash on Mobile,Sprout Instacash
Fwd: REGISTRATION OF NEW BIOMETRIC DEVICE TO SPROUT,Question,Low,Biometrics Device,Sprout HR
Feature Request Portal Access,Question,Low,Others,Sprout HR
"Sprout Payroll - Statutory Contributions Deductions (PHIC, SSS) Inquiry",Question,Normal,PhilHealth Contribution,Sprout Payroll
"Sprout Payroll - Statutory Contributions Deductions (PHIC, SSS) Inquiry",Question,Normal,SSS Contribution,Sprout Payroll
Ascendia Works Inc - Holiday Pay,Problem,Normal,Attendance Management,Sprout HR
Ascendia Works Inc - Holiday Pay,Problem,Normal,Attendance Report,Sprout HR
Ascendia Works Inc - Holiday Pay,Problem,Normal,Holidays,Sprout HR
Ascendia Works Inc - Holiday Pay,Problem,Normal,Work Schedule,Sprout HR
GLOWTOUCH: Biologs IP Address,Question,Normal,Web Bundy,Sprout HR
GLOWTOUCH: Biologs IP Address,Question,Normal,Work Place / Location,Sprout HR
RE: __ Sprout Single Sign-On (SSO) Activated,Problem,High,Current Payroll Information,Sprout HR
RE: __ Sprout Single Sign-On (SSO) Activated,Problem,High,Current Payroll Information,Sprout Payroll
RE: __ Sprout Single Sign-On (SSO) Activated,Problem,High,Login,Sprout HR
RE: __ Sprout Single Sign-On (SSO) Activated,Problem,High,Login,Sprout Payroll
RE: __ Sprout Single Sign-On (SSO) Activated,Problem,High,SSO,Sprout HR
RE: __ Sprout Single Sign-On (SSO) Activated,Problem,High,SSO,Sprout Payroll
Re: GENERAL LEDGER - SETUP/MAPPING,Problem,Normal,General Ledger,Sprout Payroll
"FW: Thank you for applying for an Instacash Loan Del Rosario, Neil Bryan Benedicto_2024-04-17_093-35-02515-7",Problem,Normal,Instacash Widget,Sprout Instacash
ERROR in Sprout Loan Record (Johoney,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18464 - PSO (Manila) Limited Philippine Branc Office,Task,Normal,Activation,Sprout Mobile
Change Request - CRF-18464 - PSO (Manila) Limited Philippine Branc Office,Task,Normal,Geofencing,Sprout Mobile
"DECS DIMSUM DYNASTY- Sprout HR/Payroll, missing hours during holiday",Problem,Normal,Holidays,Sprout HR
"DECS DIMSUM DYNASTY- Sprout HR/Payroll, missing hours during holiday",Problem,Normal,Holidays,Sprout Payroll
"DECS DIMSUM DYNASTY- Sprout HR/Payroll, missing hours during holiday",Problem,Normal,Schedule Adjustment Application,Sprout HR
"DECS DIMSUM DYNASTY- Sprout HR/Payroll, missing hours during holiday",Problem,Normal,Schedule Adjustment Application,Sprout Payroll
"DECS DIMSUM DYNASTY- Sprout HR/Payroll, missing hours during holiday",Problem,Normal,Schedule Adjustments,Sprout HR
"DECS DIMSUM DYNASTY- Sprout HR/Payroll, missing hours during holiday",Problem,Normal,Schedule Adjustments,Sprout Payroll
Active Realty Development: Unable to Log In,Problem,Normal,Login,Sprout Mobile
URGENT : Remove 30 day trial period I Nippon Express,Task,High,Free Trial Extension,Sprout Payroll
KMC Masterfile 04/17/2024,Task,Normal,Employee List Report,Sprout HR
Pathcutters - Sprout HR - Biologs Discrepancy of Maternity Leaves,Problem,Normal,Attendance Management,Sprout HR
Pathcutters - Sprout HR - Biologs Discrepancy of Maternity Leaves,Problem,Normal,Attendance Report,Sprout HR
Pathcutters - Sprout HR - Biologs Discrepancy of Maternity Leaves,Problem,Normal,Employment Status,Sprout HR
Pathcutters - Sprout HR - Biologs Discrepancy of Maternity Leaves,Problem,Normal,Resolution Center,Sprout HR
Pathcutters - Sprout HR - Biologs Discrepancy of Maternity Leaves,Problem,Normal,Resolution Center Widget,Sprout HR
Guevents - Cant Log In - Post SSo,Problem,High,Email Notification,Sprout HR
Guevents - Cant Log In - Post SSo,Problem,High,Email Notification,Sprout Payroll
Guevents - Cant Log In - Post SSo,Problem,High,Login,Sprout HR
Guevents - Cant Log In - Post SSo,Problem,High,Login,Sprout Payroll
Guevents - Cant Log In - Post SSo,Problem,High,SSO,Sprout HR
Guevents - Cant Log In - Post SSo,Problem,High,SSO,Sprout Payroll
Urgent | SSO Access for DRCC,Problem,Normal,Contact Information,Sprout HR
Urgent | SSO Access for DRCC,Problem,Normal,Contact Information,Sprout Payroll
Urgent | SSO Access for DRCC,Problem,Normal,Login,Sprout HR
Urgent | SSO Access for DRCC,Problem,Normal,Login,Sprout Payroll
Urgent | SSO Access for DRCC,Problem,Normal,SSO,Sprout HR
Urgent | SSO Access for DRCC,Problem,Normal,SSO,Sprout Payroll
[SSO Migration] Sprout Payroll URL,Problem,Urgent,Login,Sprout HR
[SSO Migration] Sprout Payroll URL,Problem,Urgent,Login,Sprout Payroll
[SSO Migration] Sprout Payroll URL,Problem,Urgent,SSO,Sprout HR
[SSO Migration] Sprout Payroll URL,Problem,Urgent,SSO,Sprout Payroll
MSocial Inc: Geo Tagging,Question,Low,Attendance Management,Sprout HR
MSocial Inc: Geo Tagging,Question,Low,Attendance Management,Sprout Mobile
MSocial Inc: Geo Tagging,Question,Low,Attendance Report,Sprout HR
MSocial Inc: Geo Tagging,Question,Low,Attendance Report,Sprout Mobile
MSocial Inc: Geo Tagging,Question,Low,Geotagging,Sprout HR
MSocial Inc: Geo Tagging,Question,Low,Geotagging,Sprout Mobile
MSocial Inc: Geo Tagging,Question,Low,Work Place / Location,Sprout HR
MSocial Inc: Geo Tagging,Question,Low,Work Place / Location,Sprout Mobile
Revised username for FastRemit and WCT,Question,Low,SSO,Sprout HR
Revised username for FastRemit and WCT,Question,Low,SSO,Sprout Payroll
Revised username for FastRemit and WCT,Question,Low,Users,Sprout HR
Revised username for FastRemit and WCT,Question,Low,Users,Sprout Payroll
ACCESS DENIED,Problem,High,Login,Sprout HR
ACCESS DENIED,Problem,High,Login,Sprout Payroll
ACCESS DENIED,Problem,High,SSO,Sprout HR
ACCESS DENIED,Problem,High,SSO,Sprout Payroll
Gushcloud: Sprout HR - March 28 and 29 Holidays,Problem,Normal,Attendance Report,Sprout HR
Gushcloud: Sprout HR - March 28 and 29 Holidays,Problem,Normal,Holidays,Sprout HR
Gushcloud: Sprout HR - March 28 and 29 Holidays,Problem,Normal,Resolution Center,Sprout HR
Gushcloud: Sprout HR - March 28 and 29 Holidays,Problem,Normal,Schedule Adjustment Application,Sprout HR
Gushcloud: Sprout HR - March 28 and 29 Holidays,Problem,Normal,Schedule Adjustments,Sprout HR
Clarification Needed: Rest Day Night Differential for Employee ID 1000004 - Immanuel Caralde,Problem,Normal,Attendance Management,Sprout HR
Clarification Needed: Rest Day Night Differential for Employee ID 1000004 - Immanuel Caralde,Problem,Normal,Attendance Report,Sprout HR
Clarification Needed: Rest Day Night Differential for Employee ID 1000004 - Immanuel Caralde,Problem,Normal,Work Schedule,Sprout HR
Fwd: Manager's Dashboard,Enhancement,Normal,Calendar,Sprout HR
Fwd: Manager's Dashboard,Enhancement,Normal,Manager Dashboard,Sprout HR
Help please,Problem,Normal,Attendance Report,Sprout HR
Help please,Problem,Normal,Attendance Report,Sprout Payroll
Help please,Problem,Normal,Manage Schedule,Sprout HR
Help please,Problem,Normal,Manage Schedule,Sprout Payroll
Help please,Problem,Normal,One-time Adjustments,Sprout HR
Help please,Problem,Normal,One-time Adjustments,Sprout Payroll
Help please,Problem,Normal,Schedule Adjustment Application,Sprout HR
Help please,Problem,Normal,Schedule Adjustment Application,Sprout Payroll
Help please,Problem,Normal,Schedule Adjustments,Sprout HR
Help please,Problem,Normal,Schedule Adjustments,Sprout Payroll
Help please,Problem,Normal,Work Schedule,Sprout HR
Help please,Problem,Normal,Work Schedule,Sprout Payroll
HALFDAY LEAVE,Problem,Normal,Attendance Report,Sprout HR
HALFDAY LEAVE,Problem,Normal,Leave Application,Sprout HR
HALFDAY LEAVE,Problem,Normal,Work Schedule,Sprout HR
Change Request - CRF-18465 - DRCC,Task,Normal,SSO,Sprout Payroll
Change Request - CRF-18465 - DRCC,Task,Normal,Users,Sprout Payroll
New Hire Sprout Account,Problem,Urgent,Email Notification,Sprout HR
New Hire Sprout Account,Problem,Urgent,Login,Sprout HR
New Hire Sprout Account,Problem,Urgent,SSO,Sprout HR
2 Shifts in 1 Day,Problem,Normal,Attendance Report,Sprout HR
2 Shifts in 1 Day,Problem,Normal,Backend Policy,Sprout HR
2 Shifts in 1 Day,Problem,Normal,Biologs,Sprout HR
2 Shifts in 1 Day,Problem,Normal,Work Schedule,Sprout HR
Account Locked Out,Problem,Normal,Account Lockout,Sprout HR
Account Locked Out,Problem,Normal,Email Notification,Sprout HR
Undertime Minutes,Problem,Normal,Attendance Management,Sprout HR
Undertime Minutes,Problem,Normal,Attendance Report,Sprout HR
Undertime Minutes,Problem,Normal,Certificates of Attendance,Sprout HR
Undertime Minutes,Problem,Normal,Employee Profile,Sprout HR
Undertime Minutes,Problem,Normal,Leave Application,Sprout HR
Undertime Minutes,Problem,Normal,Leaves,Sprout HR
Undertime Minutes,Problem,Normal,Manage Schedule,Sprout HR
Undertime Minutes,Problem,Normal,Schedule Adjustments,Sprout HR
Undertime Minutes,Problem,Normal,Undertimes,Sprout HR
Undertime Minutes,Problem,Normal,Work Schedule,Sprout HR
Change Request - CRF-18466 - Outsourced Doers,Task,Normal,Work Schedule,Sprout HR
Payroll cannot Modify,Problem,Normal,Payroll Runs,Sprout Payroll
Unilogix - Unable to access other payroll companies,Problem,Urgent,Login,Sprout HR
Unilogix - Unable to access other payroll companies,Problem,Urgent,Login,Sprout Payroll
Unilogix - Unable to access other payroll companies,Problem,Urgent,SSO,Sprout HR
Unilogix - Unable to access other payroll companies,Problem,Urgent,SSO,Sprout Payroll
Unilogix - Unable to access other payroll companies,Problem,Urgent,Users,Sprout HR
Unilogix - Unable to access other payroll companies,Problem,Urgent,Users,Sprout Payroll
Mobile Bundy Inquiry,Question,Low,Geofencing,Sprout Mobile
Mobile Bundy Inquiry,Question,Low,Geotagging,Sprout Mobile
Mobile Bundy Inquiry,Question,Low,Mobile Bundy,Sprout Mobile
Re: Sprout Access - Beryl Fauni,Problem,High,Login,Sprout HR
Re: Sprout Access - Beryl Fauni,Problem,High,Login,Sprout Payroll
Re: Sprout Access - Beryl Fauni,Problem,High,SSO,Sprout HR
Re: Sprout Access - Beryl Fauni,Problem,High,SSO,Sprout Payroll
password reset,Problem,Urgent,Change Password,Sprout HR
password reset,Problem,Urgent,Change Password,Sprout Payroll
password reset,Problem,Urgent,Login,Sprout HR
password reset,Problem,Urgent,Login,Sprout Payroll
password reset,Problem,Urgent,SSO,Sprout HR
password reset,Problem,Urgent,SSO,Sprout Payroll
Sample Audit Trail for ENT Client,Task,Normal,Audit Trail,Sprout HR
Sample Audit Trail for ENT Client,Task,Normal,Company,Sprout HR
"Change Request - CRF-18467 - Pontoon Philippines, Inc.",Task,Urgent,SSO,Sprout HR
"Change Request - CRF-18467 - Pontoon Philippines, Inc.",Task,Urgent,SSO,Sprout Payroll
"Change Request - CRF-18467 - Pontoon Philippines, Inc.",Task,Urgent,Users,Sprout HR
"Change Request - CRF-18467 - Pontoon Philippines, Inc.",Task,Urgent,Users,Sprout Payroll
"Change Request - CRF-18469 - Pontoon Philippines, Inc.",Task,Urgent,SSO,Sprout Payroll
"Change Request - CRF-18469 - Pontoon Philippines, Inc.",Task,Urgent,Users,Sprout Payroll
Request for Meeting,Problem,Normal,Payroll Runs,Sprout Payroll
Request for Meeting,Problem,Normal,Pre-Annualization,Sprout Payroll
Request for Meeting,Problem,Normal,Withholding Tax,Sprout Payroll
Sprout Payroll: Pay run - Missing Employee,Problem,Normal,Payroll Runs,Sprout Payroll
"SSO Migration for Apr. 17, 2024 (Batch 38)",Task,Normal,SSO,Sprout HR
Change Request -  - RIVINGTON PARTNERS TECHNOLOGY DEVELOPMENT CORPORATION,Task,Normal,Payroll - Employees,Sprout Payroll
Change Request - CRF-18470 - Don Tino Realty and Development Corporation,Task,Urgent,Link Sprout HR & Sprout Payroll,Sprout HR
Change Request - CRF-18470 - Don Tino Realty and Development Corporation,Task,Urgent,Link Sprout HR & Sprout Payroll,Sprout Payroll
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Employment Status,Sprout HR
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Employment Status,Sprout Payroll
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Final Pay,Sprout HR
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Final Pay,Sprout Payroll
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Leaves,Sprout HR
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Leaves,Sprout Payroll
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Payroll Runs,Sprout HR
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Payroll Runs,Sprout Payroll
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Work Information,Sprout HR
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Work Information,Sprout Payroll
Cianan Corp.: - Sprout Payroll - Advances to Employee,Question,Low,Recurring Adjustments,Sprout Payroll
SONJU: updating form template-logo not appearing,Problem,Normal,Form Generator,Sprout HR
SONJU: updating form template-logo not appearing,Problem,Normal,Form Templates,Sprout HR
SONJU: updating form template-logo not appearing,Problem,Normal,Whitelabel / Logo,Sprout HR
TIN Number Maximum Digit Limit,Problem,Normal,Government Information,Sprout Payroll
CO WELLNESS GROUP OPC- Timekeeping Summary,Question,Low,Attendance Management,Sprout HR
CO WELLNESS GROUP OPC- Timekeeping Summary,Question,Low,Attendance Report,Sprout HR
Biweekly Test Account_Locked User,Problem,Normal,Login,Sprout Payroll
BEACON SOLUTIONS INC. | Employee Status- edit Resigned date,Question,Normal,Employment Status,Sprout HR
BEACON SOLUTIONS INC. | Employee Status- edit Resigned date,Question,Normal,Work Information,Sprout HR
Query on Pag-IBIG/HDMF Deductions (Company Code/Site: LLRI),Problem,Normal,HDMF / Pag-IBIG Contribution,Sprout Payroll
Change Request - CRF-18471 - Novateur Coffee Concepts Inc.,Problem,Urgent,SSO,Sprout HR
Change Request - CRF-18471 - Novateur Coffee Concepts Inc.,Problem,Urgent,SSO,Sprout Payroll
Change Request - CRF-18471 - Novateur Coffee Concepts Inc.,Problem,Urgent,Users,Sprout HR
Change Request - CRF-18471 - Novateur Coffee Concepts Inc.,Problem,Urgent,Users,Sprout Payroll
Bulk Edit of Employee Information in Sprout,Question,Normal,Bulk Upload: Employee Information,Sprout HR
Bulk Edit of Employee Information in Sprout,Question,Normal,Employment Status,Sprout HR
BNEXT INC. | Instacash - Dianalyn Lazaro - Catiis,Problem,Normal,Instacash Widget,Sprout HR
Change Request - CRF-18472 - DRCC,Task,Urgent,Access Levels,Sprout HR
Change Request - CRF-18472 - DRCC,Task,Urgent,SSO,Sprout HR
Change Request - CRF-18473 - DRCC,Task,Urgent,Deactivation,Sprout Payroll
Change Request - CRF-18473 - DRCC,Task,Urgent,SSO,Sprout Payroll
"Change Request -  - Digital Maas, Inc.",Task,Normal,Activation,Sprout HR
"Change Request -  - Digital Maas, Inc.",Task,Normal,Attendance Report,Sprout HR
"Change Request -  - Digital Maas, Inc.",Task,Normal,Geotagging,Sprout HR
Niv Della Beauty Innovations Inc: General Leave 30 Error,Problem,Normal,Leave Application,Sprout HR
Niv Della Beauty Innovations Inc: General Leave 30 Error,Problem,Normal,Leave Types and Policies,Sprout HR
Niv Della Beauty Innovations Inc: General Leave 30 Error,Problem,Normal,Leaves,Sprout HR
Sprout Attendance Inconsistency April 1 to 15 period,Problem,Normal,Approval Center,Sprout HR
Sprout Attendance Inconsistency April 1 to 15 period,Problem,Normal,Attendance Management,Sprout HR
Sprout Attendance Inconsistency April 1 to 15 period,Problem,Normal,Attendance Report,Sprout HR
Sprout Attendance Inconsistency April 1 to 15 period,Problem,Normal,Official Business Application,Sprout HR
Sprout Attendance Inconsistency April 1 to 15 period,Problem,Normal,Official Businesses,Sprout HR
Sprout Attendance Inconsistency April 1 to 15 period,Problem,Normal,Work Schedule,Sprout HR
Issue with Sprout Solutions Access,Problem,High,Login,Sprout HR
Fwd: Mobile app,Problem,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
RE: Proposal for Multibio800,Task,Normal,Biometrics Device,Sprout HR
RE: PALAWAN SPROUT CONCERN,Problem,Normal,Official Business Application,Sprout HR
DoubleSquare Networks Inc: HR Mobile: My Request is not working,Problem,Normal,My Requests on Mobile,Sprout Mobile
Access to Sprout Payroll,Problem,Urgent,SSO,Sprout HR
Access to Sprout Payroll,Problem,Urgent,SSO,Sprout Payroll
Inquiry on Sprout Payroll,Problem,Normal,Others,Sprout HR
Inquiry on Sprout Payroll,Problem,Normal,Others,Sprout Payroll
Inquiry on Sprout Payroll,Problem,Normal,SSO,Sprout HR
Inquiry on Sprout Payroll,Problem,Normal,SSO,Sprout Payroll
SSO Activation,Question,Low,Activation,Sprout HR
SSO Activation,Question,Low,Activation,Sprout Payroll
SSO Activation,Question,Low,SSO,Sprout HR
SSO Activation,Question,Low,SSO,Sprout Payroll
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,Current Payroll Information,Sprout HR
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,Current Payroll Information,Sprout Payroll
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,Employee Profile,Sprout HR
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,Employee Profile,Sprout Payroll
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,Login,Sprout HR
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,Login,Sprout Payroll
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,SSO,Sprout HR
_Urgent_Access Denied in Sprout Payroll,Problem,Urgent,SSO,Sprout Payroll
Re: Request #194742: How would you rate the support you received?,Question,Low,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
BEACON SOLUTIONS INC. | Resigned employee- can't view profile,Problem,Normal,Employee Profile,Sprout HR
BEACON SOLUTIONS INC. | Resigned employee- can't view profile,Problem,Normal,Employee Search,Sprout HR
BEACON SOLUTIONS INC. | Resigned employee- can't view profile,Problem,Normal,Employment Status,Sprout HR
QUERY ON ACCESS,Question,Low,Access Levels,Sprout HR
QUERY ON ACCESS,Question,Low,Employee Viewing,Sprout HR
Change Request - CRF-18474 - VINCO MARKETING & DISTRIBUTION CORP.,Task,Normal,Deactivation,Sprout Instacash
Change Request - CRF-18474 - VINCO MARKETING & DISTRIBUTION CORP.,Task,Normal,Instacash Widget,Sprout Instacash
UNI-FIELD ENTERPRISES INC - PAYROLL - BENEFITS,Problem,Normal,HDMF / Pag-IBIG Contribution,Sprout Payroll
UNI-FIELD ENTERPRISES INC - PAYROLL - BENEFITS,Problem,Normal,PhilHealth Contribution,Sprout Payroll
UNI-FIELD ENTERPRISES INC - PAYROLL - BENEFITS,Problem,Normal,SSS Contribution,Sprout Payroll
Change Request - CRF-18475 - VINCO MARKETING & DISTRIBUTION CORP.,Task,Normal,Activation,Sprout HR
Change Request - CRF-18475 - VINCO MARKETING & DISTRIBUTION CORP.,Task,Normal,Web Bundy,Sprout HR
SPROUT ACCESSS CONCERN,Problem,Urgent,Email Notification,Sprout HR
SPROUT ACCESSS CONCERN,Problem,Urgent,SSO,Sprout HR
error on add employee,Problem,Normal,Add Employee,Sprout HR
error on add employee,Problem,Normal,Employee Profile,Sprout HR
eFlex | Sprout Password Reset: Ed Collo,Problem,Normal,Login,Sprout HR
eFlex | Sprout Password Reset: Ed Collo,Problem,Normal,Login,Sprout Payroll
eFlex | Sprout Password Reset: Ed Collo,Problem,Normal,SSO,Sprout HR
eFlex | Sprout Password Reset: Ed Collo,Problem,Normal,SSO,Sprout Payroll
Sprout System Concern | Inaccurate Extracted Data,Problem,Normal,Attendance Report,Sprout HR
Sprout System Concern | Inaccurate Extracted Data,Problem,Normal,Holidays,Sprout HR
Sprout System Concern | Inaccurate Extracted Data,Problem,Normal,Schedule Adjustment Application,Sprout HR
Change Request - CRF-18476 - Diamond Express & General Services Inc.,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
"Change Request -  - Regent Business Process, Inc.",Task,Normal,Deactivation,Sprout Instacash
"Change Request -  - Regent Business Process, Inc.",Task,Normal,Instacash Widget,Sprout Instacash
Change Request - CRF-18477 - SONJU ENGINEERING SERVICES,Problem,Normal,Import Leave Balance and Usage,Sprout Payroll
REQUEST TO UNLINK DEVICE,Question,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
MEDALPHA :  PAYROLL RUN CONCERN,Problem,Normal,Payroll Runs,Sprout Payroll
PENDING FOR APPROVAL,Question,Low,Approval Center,Sprout HR
Request for Assistance Re Payroll Access,Problem,Normal,Login,Sprout HR
Request for Assistance Re Payroll Access,Problem,Normal,Login,Sprout Payroll
Request for Assistance Re Payroll Access,Problem,Normal,SSO,Sprout HR
Request for Assistance Re Payroll Access,Problem,Normal,SSO,Sprout Payroll
Kindly assist din po kung bakit may lumalabas po n...,Problem,Normal,Approval Center,Sprout HR
Kindly assist din po kung bakit may lumalabas po n...,Problem,Normal,Attendance Management,Sprout HR
Kindly assist din po kung bakit may lumalabas po n...,Problem,Normal,Attendance Report,Sprout HR
Kindly assist din po kung bakit may lumalabas po n...,Problem,Normal,Holidays,Sprout HR
Kindly assist din po kung bakit may lumalabas po n...,Problem,Normal,Manage Schedule,Sprout HR
